##########################################################
# Ostrich sorted net output file.
# Input options:
#    export_sorted_list -plotname design_openrcx_customrules_vs_invs_-40C -datatype xcap -filename sorted_xcap_customrules_-40.txt 
#
# golden_setname = invs
# target_setname = openrcx
#
# Each line represents a net pair, with fields in the
# following order.
#   - golden xcap 
#   - target xcap 
#   - absolute difference
#   - signed difference
#   - percent error
#   - notes
#
# Non-excluded nets are listed first, followed
# by excluced nets.
##############################################
_112_,net77 NaN 0.000068 NaN NaN NaN { NF golden}
req_msg[24],req_val NaN 0.000000 NaN NaN NaN { NF golden}
dpath.a_lt_b$in0[3],net36 NaN 0.000000 NaN NaN NaN { NF golden}
net39,net66 NaN 0.000182 NaN NaN NaN { NF golden}
_034_,net25 NaN 0.000021 NaN NaN NaN { NF golden}
_112_,net72 NaN 0.000000 NaN NaN NaN { NF golden}
_045_,net109 NaN 0.000040 NaN NaN NaN { NF golden}
_112_,net70 NaN 0.000000 NaN NaN NaN { NF golden}
_039_,dpath.a_lt_b$in1[10] NaN 0.000067 NaN NaN NaN { NF golden}
_017_,net42 NaN 0.000199 NaN NaN NaN { NF golden}
_128_,net36 NaN 0.000000 NaN NaN NaN { NF golden}
net40,net52 NaN 0.006289 NaN NaN NaN { NF golden}
net41,net68 NaN 0.000053 NaN NaN NaN { NF golden}
_034_,dpath.a_lt_b$in1[15] NaN 0.000000 NaN NaN NaN { NF golden}
_105_,dpath.a_lt_b$in0[6] NaN 0.000038 NaN NaN NaN { NF golden}
_015_,_128_ NaN 0.000025 NaN NaN NaN { NF golden}
net41,net64 NaN 0.000000 NaN NaN NaN { NF golden}
_111_,_147_ NaN 0.000143 NaN NaN NaN { NF golden}
dpath.a_lt_b$in0[3],net11 NaN 0.000305 NaN NaN NaN { NF golden}
_171_,net36 NaN 0.000181 NaN NaN NaN { NF golden}
_112_,net50 NaN 0.000053 NaN NaN NaN { NF golden}
_044_,_045_ NaN 0.000019 NaN NaN NaN { NF golden}
net42,net72 NaN 0.000093 NaN NaN NaN { NF golden}
_056_,_112_ NaN 0.000134 NaN NaN NaN { NF golden}
_022_,_101_ NaN 0.000360 NaN NaN NaN { NF golden}
net11,req_msg[19] NaN 0.000088 NaN NaN NaN { NF golden}
req_msg[14],resp_msg[14] NaN 0.000000 NaN NaN NaN { NF golden}
_137_,net79 NaN 0.000889 NaN NaN NaN { NF golden}
_027_,dpath.a_lt_b$in1[2] NaN 0.000389 NaN NaN NaN { NF golden}
_093_,net102 NaN 0.000000 NaN NaN NaN { NF golden}
_137_,net74 NaN 0.000340 NaN NaN NaN { NF golden}
clknet_2_1_0_clk,net100 NaN 0.000342 NaN NaN NaN { NF golden}
_137_,net73 NaN 0.000037 NaN NaN NaN { NF golden}
_035_,_036_ NaN 0.000223 NaN NaN NaN { NF golden}
_006_,_118_ NaN 0.000088 NaN NaN NaN { NF golden}
_011_,dpath.a_lt_b$in0[8] NaN 0.000025 NaN NaN NaN { NF golden}
_075_,net105 NaN 0.000098 NaN NaN NaN { NF golden}
_137_,net60 NaN 0.000085 NaN NaN NaN { NF golden}
_137_,net57 NaN 0.000351 NaN NaN NaN { NF golden}
_005_,_101_ NaN 0.000018 NaN NaN NaN { NF golden}
_137_,net56 NaN 0.000135 NaN NaN NaN { NF golden}
net44,net75 NaN 0.000374 NaN NaN NaN { NF golden}
_090_,_093_ NaN 0.000235 NaN NaN NaN { NF golden}
_112_,net16 NaN 0.000050 NaN NaN NaN { NF golden}
clknet_2_2_0_clk,net105 NaN 0.000012 NaN NaN NaN { NF golden}
net43,net56 NaN 0.000414 NaN NaN NaN { NF golden}
_085_,net39 NaN 0.000107 NaN NaN NaN { NF golden}
dpath.a_lt_b$in1[7],net110 NaN 0.000000 NaN NaN NaN { NF golden}
_174_,clknet_2_1_0_clk NaN 0.000233 NaN NaN NaN { NF golden}
ctrl.state.out[2],net36 NaN 0.000126 NaN NaN NaN { NF golden}
_057_,net110 NaN 0.000000 NaN NaN NaN { NF golden}
_057_,net109 NaN 0.000237 NaN NaN NaN { NF golden}
_125_,dpath.a_lt_b$in1[9] NaN 0.000377 NaN NaN NaN { NF golden}
_038_,_084_ NaN 0.000000 NaN NaN NaN { NF golden}
net103,net9 NaN 0.000076 NaN NaN NaN { NF golden}
net12,req_msg[1] NaN 0.000093 NaN NaN NaN { NF golden}
_137_,_163_ NaN 0.000044 NaN NaN NaN { NF golden}
_045_,_057_ NaN 0.000832 NaN NaN NaN { NF golden}
_137_,net45 NaN 0.000189 NaN NaN NaN { NF golden}
_179_,net56 NaN 0.000024 NaN NaN NaN { NF golden}
