##########################################################
# Ostrich sorted net output file.
# Input options:
#    export_sorted_list -plotname design_openrcx_platformrules_vs_invs_-40C -datatype xcap -filename sorted_xcap_platformrules_-40.txt 
#
# golden_setname = invs
# target_setname = openrcx
#
# Each line represents a net pair, with fields in the
# following order.
#   - golden xcap 
#   - target xcap 
#   - absolute difference
#   - signed difference
#   - percent error
#   - notes
#
# Non-excluded nets are listed first, followed
# by excluced nets.
##############################################
_045_,net109 NaN 0.000027 NaN NaN NaN { NF golden}
_112_,net70 NaN 0.000011 NaN NaN NaN { NF golden}
_039_,dpath.a_lt_b$in1[10] NaN 0.000042 NaN NaN NaN { NF golden}
clknet_2_0_0_clk,net103 NaN 0.000012 NaN NaN NaN { NF golden}
_017_,net42 NaN 0.000087 NaN NaN NaN { NF golden}
_128_,net36 NaN 0.000000 NaN NaN NaN { NF golden}
net40,net52 NaN 0.005580 NaN NaN NaN { NF golden}
net41,net68 NaN 0.000040 NaN NaN NaN { NF golden}
_034_,dpath.a_lt_b$in1[15] NaN 0.000021 NaN NaN NaN { NF golden}
_105_,dpath.a_lt_b$in0[6] NaN 0.000029 NaN NaN NaN { NF golden}
_015_,_128_ NaN 0.000019 NaN NaN NaN { NF golden}
net41,net64 NaN 0.000000 NaN NaN NaN { NF golden}
_111_,_147_ NaN 0.000076 NaN NaN NaN { NF golden}
_112_,net52 NaN 0.000077 NaN NaN NaN { NF golden}
dpath.a_lt_b$in0[3],net11 NaN 0.000268 NaN NaN NaN { NF golden}
_171_,net36 NaN 0.000165 NaN NaN NaN { NF golden}
_112_,net50 NaN 0.000036 NaN NaN NaN { NF golden}
_044_,_045_ NaN 0.000014 NaN NaN NaN { NF golden}
net42,net72 NaN 0.000069 NaN NaN NaN { NF golden}
_056_,_112_ NaN 0.000091 NaN NaN NaN { NF golden}
_022_,_101_ NaN 0.000171 NaN NaN NaN { NF golden}
net42,net68 NaN 0.000033 NaN NaN NaN { NF golden}
net11,req_msg[19] NaN 0.000048 NaN NaN NaN { NF golden}
req_msg[14],resp_msg[14] NaN 0.000000 NaN NaN NaN { NF golden}
_137_,net79 NaN 0.000786 NaN NaN NaN { NF golden}
_027_,dpath.a_lt_b$in1[2] NaN 0.000195 NaN NaN NaN { NF golden}
_093_,net102 NaN 0.000000 NaN NaN NaN { NF golden}
_137_,net74 NaN 0.000212 NaN NaN NaN { NF golden}
clknet_2_1_0_clk,net100 NaN 0.000174 NaN NaN NaN { NF golden}
_137_,net73 NaN 0.000024 NaN NaN NaN { NF golden}
_035_,_036_ NaN 0.000164 NaN NaN NaN { NF golden}
_006_,_118_ NaN 0.000039 NaN NaN NaN { NF golden}
_011_,dpath.a_lt_b$in0[8] NaN 0.000021 NaN NaN NaN { NF golden}
_075_,net105 NaN 0.000076 NaN NaN NaN { NF golden}
_137_,net60 NaN 0.000064 NaN NaN NaN { NF golden}
_137_,net57 NaN 0.000189 NaN NaN NaN { NF golden}
_005_,_101_ NaN 0.000013 NaN NaN NaN { NF golden}
_137_,net56 NaN 0.000041 NaN NaN NaN { NF golden}
net44,net75 NaN 0.000320 NaN NaN NaN { NF golden}
net14,resp_msg[5] NaN 0.000044 NaN NaN NaN { NF golden}
_090_,_093_ NaN 0.000214 NaN NaN NaN { NF golden}
_112_,net16 NaN 0.000044 NaN NaN NaN { NF golden}
clknet_2_2_0_clk,net105 NaN 0.000006 NaN NaN NaN { NF golden}
net43,net56 NaN 0.000349 NaN NaN NaN { NF golden}
_085_,net39 NaN 0.000091 NaN NaN NaN { NF golden}
dpath.a_lt_b$in1[7],net110 NaN 0.000000 NaN NaN NaN { NF golden}
_174_,clknet_2_1_0_clk NaN 0.000109 NaN NaN NaN { NF golden}
ctrl.state.out[2],net36 NaN 0.000117 NaN NaN NaN { NF golden}
_057_,net110 NaN 0.000000 NaN NaN NaN { NF golden}
